WEEK_NUM,n,bad_count,bad_rate,split
0,16735,400,0.023902001792650136,train
1,18841,472,0.025051748845602673,train
2,17476,465,0.026607919432364385,train
3,16108,419,0.026011919543084183,train
4,14309,404,0.028233978614857783,train
5,15335,407,0.026540593413759375,train
6,16385,445,0.027158986878242294,train
7,17238,462,0.026801253045596937,train
8,13076,424,0.03242581829305598,train
9,14716,390,0.026501766784452298,train
10,16650,471,0.028288288288288287,train
11,16101,367,0.022793615303397304,train
12,17105,479,0.02800350774627302,train
13,15791,410,0.025964156798176177,train
14,17534,525,0.029941827306946504,train
15,17713,502,0.028340766668548522,train
16,16598,535,0.03223279913242559,train
17,12146,440,0.036225917997694715,train
18,11729,420,0.03580867934180237,train
19,17194,529,0.030766546469698734,train
20,16366,501,0.030612244897959183,train
21,16962,543,0.0320127343473647,train
22,23261,559,0.024031640944069472,train
23,26734,633,0.02367771377272387,train
24,19503,535,0.02743167717787007,train
25,20744,588,0.028345545699961436,train
26,20621,572,0.027738712962513942,train
27,22450,630,0.028062360801781736,train
28,22013,591,0.026847771771226093,train
29,22841,613,0.026837704128540783,train
30,20688,602,0.029098994586233565,train
31,21275,544,0.025569917743830786,train
32,23889,572,0.023944074678722425,train
33,21525,632,0.029361207897793264,train
34,23477,638,0.027175533500873195,train
35,24137,677,0.028048224717239095,train
36,23812,810,0.03401646228792206,train
37,22255,834,0.0374747247809481,train
38,22424,861,0.03839636104174099,train
39,21039,820,0.03897523646561148,train
40,23907,833,0.03484335131969716,train
41,21125,843,0.039905325443786985,train
42,20643,801,0.03880249963668071,train
43,21029,841,0.03999239145941319,train
44,25887,938,0.036234403368486115,train
45,28947,1001,0.03458044011469237,train
46,22299,915,0.041033230189694604,train
47,31888,936,0.029352734570998493,train
48,22298,890,0.03991389362274644,train
49,30938,1014,0.03277522787510505,train
50,26244,1060,0.04039018442310623,train
51,35920,1136,0.03162583518930958,train
52,22915,689,0.030067641283002402,train
53,22194,823,0.03708209425970983,train
54,18740,869,0.04637139807897545,train
55,18538,789,0.042561225590678604,valid
56,17072,811,0.04750468603561387,valid
57,18221,838,0.045990889632841224,valid
58,17819,867,0.04865592906448173,valid
59,17729,889,0.05014383213943257,valid
60,15864,729,0.04595310136157337,valid
61,15568,807,0.05183710174717369,valid
62,17164,895,0.05214402237240737,valid
63,14337,589,0.04108251377554579,valid
64,10268,322,0.03135956369302688,valid
65,4258,96,0.02254579614842649,valid
66,2278,52,0.0228270412642669,valid
67,1434,30,0.02092050209205021,valid
68,825,21,0.025454545454545455,valid
69,1582,35,0.022123893805309734,valid
70,3808,82,0.02153361344537815,valid
71,7921,176,0.02221941674031057,valid
72,8858,207,0.02336870625423346,valid
73,8687,189,0.021756647864625302,test
74,11280,303,0.026861702127659575,test
75,13656,290,0.02123608670181605,test
76,10261,255,0.024851379007893967,test
77,7754,197,0.025406241939644053,test
78,8755,195,0.02227298686464877,test
79,5158,112,0.021713842574641335,test
80,6246,120,0.01921229586935639,test
81,6743,188,0.02788076523802462,test
82,5423,122,0.022496773003872397,test
83,7295,156,0.021384509938313912,test
84,9721,216,0.022219936220553443,test
85,16239,308,0.018966685140710635,test
86,15630,277,0.017722328854766475,test
87,17886,329,0.018394274851839428,test
88,14234,265,0.018617394969790643,test
89,13600,309,0.022720588235294117,test
90,12103,330,0.027265967115591174,test
91,12674,288,0.02272368628688654,test
