column,dtype,missing_count,missing_percent,non_null_count
COMMONAREA_AVG,float64,214865,69.87229725115525,92646
COMMONAREA_MEDI,float64,214865,69.87229725115525,92646
COMMONAREA_MODE,float64,214865,69.87229725115525,92646
NONLIVINGAPARTMENTS_AVG,float64,213514,69.43296337366793,93997
NONLIVINGAPARTMENTS_MEDI,float64,213514,69.43296337366793,93997
NONLIVINGAPARTMENTS_MODE,float64,213514,69.43296337366793,93997
FONDKAPREMONT_MODE,str,210295,68.38617155158677,97216
LIVINGAPARTMENTS_AVG,float64,210199,68.35495315614726,97312
LIVINGAPARTMENTS_MEDI,float64,210199,68.35495315614726,97312
LIVINGAPARTMENTS_MODE,float64,210199,68.35495315614726,97312
FLOORSMIN_AVG,float64,208642,67.84862980511267,98869
FLOORSMIN_MEDI,float64,208642,67.84862980511267,98869
FLOORSMIN_MODE,float64,208642,67.84862980511267,98869
YEARS_BUILD_AVG,float64,204488,66.49778381911543,103023
YEARS_BUILD_MEDI,float64,204488,66.49778381911543,103023
YEARS_BUILD_MODE,float64,204488,66.49778381911543,103023
OWN_CAR_AGE,float64,202929,65.9908100848425,104582
LANDAREA_AVG,float64,182590,59.376737742714894,124921
LANDAREA_MEDI,float64,182590,59.376737742714894,124921
LANDAREA_MODE,float64,182590,59.376737742714894,124921
BASEMENTAREA_AVG,float64,179943,58.51595552679416,127568
BASEMENTAREA_MEDI,float64,179943,58.51595552679416,127568
BASEMENTAREA_MODE,float64,179943,58.51595552679416,127568
EXT_SOURCE_1,float64,173378,56.381072546998325,134133
NONLIVINGAREA_AVG,float64,169682,55.17916432257708,137829
NONLIVINGAREA_MEDI,float64,169682,55.17916432257708,137829
NONLIVINGAREA_MODE,float64,169682,55.17916432257708,137829
ELEVATORS_AVG,float64,163891,53.29597965601231,143620
ELEVATORS_MEDI,float64,163891,53.29597965601231,143620
ELEVATORS_MODE,float64,163891,53.29597965601231,143620
WALLSMATERIAL_MODE,str,156341,50.8407829313423,151170
APARTMENTS_AVG,float64,156061,50.74972927797705,151450
APARTMENTS_MEDI,float64,156061,50.74972927797705,151450
APARTMENTS_MODE,float64,156061,50.74972927797705,151450
ENTRANCES_AVG,float64,154828,50.3487680115508,152683
ENTRANCES_MEDI,float64,154828,50.3487680115508,152683
ENTRANCES_MODE,float64,154828,50.3487680115508,152683
LIVINGAREA_AVG,float64,154350,50.193326417591564,153161
LIVINGAREA_MEDI,float64,154350,50.193326417591564,153161
LIVINGAREA_MODE,float64,154350,50.193326417591564,153161
HOUSETYPE_MODE,str,154297,50.176091261776,153214
FLOORSMAX_AVG,float64,153020,49.76082156410665,154491
FLOORSMAX_MEDI,float64,153020,49.76082156410665,154491
FLOORSMAX_MODE,float64,153020,49.76082156410665,154491
YEARS_BEGINEXPLUATATION_AVG,float64,150007,48.781019215572776,157504
YEARS_BEGINEXPLUATATION_MEDI,float64,150007,48.781019215572776,157504
YEARS_BEGINEXPLUATATION_MODE,float64,150007,48.781019215572776,157504
TOTALAREA_MODE,float64,148431,48.26851722377411,159080
EMERGENCYSTATE_MODE,str,145755,47.39830445089769,161756
OCCUPATION_TYPE,str,96391,31.345545362604916,211120
EXT_SOURCE_3,float64,60965,19.825307062186393,246546
AMT_REQ_CREDIT_BUREAU_DAY,float64,41519,13.501630835970097,265992
AMT_REQ_CREDIT_BUREAU_HOUR,float64,41519,13.501630835970097,265992
AMT_REQ_CREDIT_BUREAU_MON,float64,41519,13.501630835970097,265992
AMT_REQ_CREDIT_BUREAU_QRT,float64,41519,13.501630835970097,265992
AMT_REQ_CREDIT_BUREAU_WEEK,float64,41519,13.501630835970097,265992
AMT_REQ_CREDIT_BUREAU_YEAR,float64,41519,13.501630835970097,265992
NAME_TYPE_SUITE,str,1292,0.42014757195677555,306219
DEF_30_CNT_SOCIAL_CIRCLE,float64,1021,0.3320206431639844,306490
DEF_60_CNT_SOCIAL_CIRCLE,float64,1021,0.3320206431639844,306490
OBS_30_CNT_SOCIAL_CIRCLE,float64,1021,0.3320206431639844,306490
OBS_60_CNT_SOCIAL_CIRCLE,float64,1021,0.3320206431639844,306490
EXT_SOURCE_2,float64,660,0.21462646864665005,306851
AMT_GOODS_PRICE,float64,278,0.09040327012692229,307233
AMT_ANNUITY,float64,12,0.003902299429939092,307499
CNT_FAM_MEMBERS,float64,2,0.0006503832383231819,307509
DAYS_LAST_PHONE_CHANGE,float64,1,0.00032519161916159093,307510
AMT_CREDIT,float64,0,0.0,307511
AMT_INCOME_TOTAL,float64,0,0.0,307511
CNT_CHILDREN,int64,0,0.0,307511
