column,dtype,missing_count,missing_percent,non_null_count
RATE_INTEREST_PRIMARY,float64,1664263,99.6436983524267,5951
RATE_INTEREST_PRIVILEGED,float64,1664263,99.6436983524267,5951
AMT_DOWN_PAYMENT,float64,895844,53.636480115721696,774370
RATE_DOWN_PAYMENT,float64,895844,53.636480115721696,774370
NAME_TYPE_SUITE,str,820405,49.11975351661524,849809
DAYS_FIRST_DRAWING,float64,673065,40.29812946125467,997149
DAYS_FIRST_DUE,float64,673065,40.29812946125467,997149
DAYS_LAST_DUE,float64,673065,40.29812946125467,997149
DAYS_LAST_DUE_1ST_VERSION,float64,673065,40.29812946125467,997149
DAYS_TERMINATION,float64,673065,40.29812946125467,997149
NFLAG_INSURED_ON_APPROVAL,float64,673065,40.29812946125467,997149
AMT_GOODS_PRICE,float64,385515,23.08177275486854,1284699
AMT_ANNUITY,float64,372235,22.286665062081866,1297979
CNT_PAYMENT,float64,372230,22.286365699245724,1297984
PRODUCT_COMBINATION,str,346,0.02071590826085759,1669868
AMT_CREDIT,float64,1,5.9872567227912114e-05,1670213
AMT_APPLICATION,float64,0,0.0,1670214
CHANNEL_TYPE,str,0,0.0,1670214
CODE_REJECT_REASON,str,0,0.0,1670214
DAYS_DECISION,int64,0,0.0,1670214
FLAG_LAST_APPL_PER_CONTRACT,str,0,0.0,1670214
HOUR_APPR_PROCESS_START,int64,0,0.0,1670214
NAME_CASH_LOAN_PURPOSE,str,0,0.0,1670214
NAME_CLIENT_TYPE,str,0,0.0,1670214
NAME_CONTRACT_STATUS,str,0,0.0,1670214
NAME_CONTRACT_TYPE,str,0,0.0,1670214
NAME_GOODS_CATEGORY,str,0,0.0,1670214
NAME_PAYMENT_TYPE,str,0,0.0,1670214
NAME_PORTFOLIO,str,0,0.0,1670214
NAME_PRODUCT_TYPE,str,0,0.0,1670214
NAME_SELLER_INDUSTRY,str,0,0.0,1670214
NAME_YIELD_GROUP,str,0,0.0,1670214
NFLAG_LAST_APPL_IN_DAY,int64,0,0.0,1670214
SELLERPLACE_AREA,int64,0,0.0,1670214
SK_ID_CURR,int64,0,0.0,1670214
SK_ID_PREV,int64,0,0.0,1670214
WEEKDAY_APPR_PROCESS_START,str,0,0.0,1670214
