feature,min,max,mean,median,missing_count,missing_rate_pct
SeriousDlqin2yrs,0.0,1.0,0.06684444444444444,0.0,0,0.0
RevolvingUtilizationOfUnsecuredLines,0.0,50708.0,6.8230118150386225,0.153992781,0,0.0
age,21.0,109.0,52.26215555555556,52.0,0,0.0
NumberOfTime30-59DaysPastDueNotWorse,0.0,13.0,0.2460040071237756,0.0,160,0.18
DebtRatio,0.0,329664.0,360.08932049737416,0.367813343,0,0.0
MonthlyIncome,0.0,1794060.0,6602.193624802593,5366.0,17814,19.79
NumberOfOpenCreditLinesAndLoans,0.0,58.0,8.477533333333334,8.0,0,0.0
NumberOfTimes90DaysLate,0.0,17.0,0.09044968833481745,0.0,160,0.18
NumberRealEstateLoansOrLines,0.0,54.0,1.0193333333333334,1.0,0,0.0
NumberOfTime60-89DaysPastDueNotWorse,0.0,11.0,0.06410284951024042,0.0,160,0.18
NumberOfDependents,0.0,13.0,0.7572305095570457,0.0,2316,2.57
